Day,Adjusted price
1439,15624.2002
1440,15683.90039
1441,15791.40039
1442,15675.29981
1443,15547.2002
1444,15454
1445,15646.79981
1446,15681.5
1447,15723.59961
1448,15840.90039
1449,15897.09961
1450,16029
1451,16050.2002
1452,15892.29981
1453,15652.5
1454,15549.59961
1455,15439.90039
1456,15451.40039
1457,15577.7002
1458,15440.5
1459,15600.2002
1460,15554
1461,15556.79981
1462,15486.09961
1463,15650.7002
1464,15726
1465,15748.7002
1466,15691.79981
1467,15616.5
1468,15687
1469,15629.79981
1470,15495.59961
1471,15402.7002
1472,15362.59961
1473,15351.90039
1474,15262.7002
1475,15240.09961
1476,15243.40039
1477,15460.7002
1478,15465.79981
1479,15527.5
1480,15675.59961
1481,15667.79981
1482,15796.40039
1483,15895.29981
1484,15748.90039
1485,15838.59961
1486,15881.09961
1487,15998
1488,16024.59961
1489,15910.90039
1490,15885.7002
1491,15957.09961
1492,15965.40039
1493,15991.90039
1494,15995.79981
1495,15924.59961
1496,15768.29981
1497,15786.90039
1498,15672.7002
1499,15621.40039
1500,15711.90039
1501,15649.2002
1502,15593.09961
1503,15576.7002
1504,15722.79981
1505,15859.09961
1506,15744.59961
1507,15533.7002
1508,15537.59961
1509,15425.90039
1510,15383.7002
1511,15390.09961
1512,15379.7002
1513,15210.90039
1514,15005.2002
1515,15230.09961
1516,15277
1517,15099.2002
1518,14933.5
1519,14811.29981
1520,14641.59961
1521,14544
1522,14669.79981
1523,14426.7002
1524,14480.09961
1525,14757.59961
1526,14756
1527,15025
1528,15170.09961
1529,15136
1530,15089.59961
1531,15040.40039
1532,15123.40039
1533,15234.09961
1534,15298.29981
1535,15501.40039
1536,15453.2002
1537,15394.09961
1538,15526.29981
1539,15515.09961
1540,15464.5
1541,15596.2002
1542,15630.7002
1543,15604.29981
1544,15631.90039
1545,15644.09961
1546,15648.59961
1547,15699.40039
1548,15601.90039
1549,15604.5
1550,15691.59961
1551,15710.09961
1552,15831.59961
1553,15788.40039
1554,15889.7002
1555,15851.79981
1556,15719.79981
1557,15833
1558,15811.59961
1559,15840.5
1560,16002.90039
1561,15952.5
1562,15714.29981
1563,15737.5
1564,15663.5
1565,15377.09961
1566,15233.90039
1567,15426.79981
1568,15444
1569,15732.7002
1570,15888.90039
1571,15991.5
1572,16094.2002
1573,16050.7002
1574,15990.29981
1575,16052
1576,15921.7002
1577,15778.7002
1578,15851.7002
1579,16085.5
1580,16011
1581,15943.7002
1582,16085
1583,15872.09961
1584,15915.29981
1585,15922.5
1586,16067.2002
1587,16126.59961
1588,16253.29981
1589,16378.90039
1590,16458.90039
1591,16470.5
1592,16353.90039
1593,16425.69922
1594,16359
1595,16305.79981
1596,16355.59961
1597,16570.30078
1598,16571.59961
1599,16695
1600,16685.59961
1601,16579.19922
1602,16658.69922
1603,16632.59961
1604,16809.40039
1605,16847.80078
1606,16861.19922
1607,16887.69922
1608,17002.09961
1609,17049.80078
1610,17122.59961
1611,17168
1612,17201.90039
1613,17188.30078
1614,17249.80078
1615,17273.80078
1616,17249.90039
1617,17146
1618,17135.69922
1619,17310.30078
1620,17272.19922
1621,17167.09961
1622,16922.5
1623,16948.90039
1624,17061.09961
1625,17109.5
1626,17201
1627,17202.90039
1628,17363.69922
1629,17438.19922
1630,17537.59961
1631,17551.19922
1632,17579.19922
1633,17502.30078
1634,17260.59961
1635,17162.59961
1636,17208.09961
1637,17090.59961
